kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
11290515,K04716.01,,CANDIDATE,CANDIDATE,0.9600,0,0,0,0,5.894333800,5.9730000e-05,-5.9730000e-05,134.1069200,8.220000e-03,-8.220000e-03,0.003,0.453,-0.003,3.47500,0.26800,-0.26800,28.9,3.100e+00,-3.100e+00,0.61,0.12,-5.000e-02,1092.0,,,335.90,170.65,-73.97,10.70,1,q1_q17_dr25_tce,5929.00,71.00,-83.00,4.357,0.081,-0.150,1.1450,0.2280,-0.1050,288.344880,49.021938,12.322
4902202,K04717.01,,FALSE POSITIVE,FALSE POSITIVE,0.4050,1,0,0,0,216.456055000,5.2920000e-03,-5.2920000e-03,175.3753000,1.930000e-02,-1.930000e-02,0.033,0.418,-0.033,11.06700,0.55300,-0.55300,1002.8,8.260e+01,-8.260e+01,3.61,0.53,-5.400e-01,320.0,,,2.48,0.97,-0.77,14.20,1,q1_q17_dr25_tce,5645.00,76.00,-76.00,4.299,0.137,-0.112,1.1550,0.1700,-0.1700,283.693510,40.018021,15.580
7282042,K04718.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,1,0.566803216,4.5370000e-06,-4.5370000e-06,131.8098200,9.100000e-03,-9.100000e-03,0.424,0.068,-0.424,3.32500,0.73900,-0.73900,20.2,2.300e+00,-2.300e+00,0.54,0.13,-7.000e-02,2642.0,,,11526.75,7307.78,-3931.62,15.50,1,q1_q17_dr25_tce,6473.00,146.00,-195.00,4.330,0.092,-0.138,1.1820,0.2630,-0.1620,291.787960,42.834099,13.449
3109937,K04720.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,37.809539000,1.3790000e-03,-1.3790000e-03,158.4002000,3.290000e-02,-3.290000e-02,0.030,0.416,-0.030,7.54700,0.48100,-0.48100,487.4,5.360e+01,-5.360e+01,1.79,0.39,-1.700e-01,483.0,,,12.89,8.87,-3.75,9.70,1,q1_q17_dr25_tce,5595.00,177.00,-197.00,4.570,0.038,-0.152,0.8200,0.1810,-0.0780,289.778260,38.262741,15.752
6593734,K04722.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,1,0,0.586757460,1.6370000e-06,-1.6370000e-06,131.7542400,2.470000e-03,-2.470000e-03,1.183,3.021,-0.120,1.50800,0.15500,-0.15500,143.8,1.010e+01,-1.010e+01,19.91,5.01,-2.140e+00,2157.0,,,5080.59,3770.63,-1543.13,18.40,1,q1_q17_dr25_tce,5942.00,160.00,-196.00,4.506,0.046,-0.184,0.9380,0.2360,-0.1010,287.828770,42.061642,15.509
7778621,K04725.01,Kepler-1967 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.281713950,2.9140000e-05,-2.9140000e-05,137.3008500,3.210000e-03,-3.210000e-03,0.956,0.005,-0.663,1.72300,0.11000,-0.11000,111.6,9.300e+00,-9.300e+00,2.59,1.47,-1.460e+00,1086.0,,,329.68,589.50,-273.70,14.40,1,q1_q17_dr25_tce,4970.00,164.00,-134.00,3.924,0.624,-0.336,1.8060,1.0200,-1.0200,299.137790,43.498638,13.367
5956354,K04726.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,8.038669900,1.1360000e-04,-1.1360000e-04,135.3098000,1.230000e-02,-1.230000e-02,0.399,0.060,-0.399,3.54900,0.37000,-0.37000,142.0,1.500e+01,-1.500e+01,1.18,0.34,-1.200e-01,926.0,,,173.92,151.54,-50.23,11.60,1,q1_q17_dr25_tce,6018.00,181.00,-181.00,4.485,0.050,-0.200,0.9750,0.2820,-0.1010,290.517850,41.238762,14.999
11913072,K04729.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,3.747795830,4.5260000e-05,-4.5260000e-05,134.2022000,1.160000e-02,-1.160000e-02,0.390,0.072,-0.390,3.15700,0.35500,-0.35500,88.5,7.500e+00,-7.500e+00,1.06,0.32,-1.100e-01,1324.0,,,725.94,633.30,-219.10,14.40,1,q1_q17_dr25_tce,6341.00,172.00,-210.00,4.409,0.065,-0.195,1.1110,0.3300,-0.1180,291.061430,50.226940,14.416
8752940,K04730.01,,CANDIDATE,CANDIDATE,0.8350,0,0,0,0,9.078291710,4.6190000e-05,-4.6190000e-05,138.2593300,4.260000e-03,-4.260000e-03,0.164,0.406,-0.164,0.78300,0.16400,-0.16400,530.9,9.950e+01,-9.950e+01,3.69,1.76,-1.770e+00,984.0,,,221.32,339.83,-168.97,7.00,1,q1_q17_dr25_tce,5086.00,192.00,-174.00,4.002,0.526,-0.283,1.6110,0.7710,-0.7710,291.588750,44.907509,14.383
9083470,K04731.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,1,1,0.918422380,1.2410000e-05,-1.2410000e-05,131.5859000,1.220000e-02,-1.220000e-02,1.186,0.586,-0.198,5.66400,0.82500,-0.82500,162.9,1.600e+01,-1.600e+01,16.07,2.65,-1.430e+00,1525.0,,,1280.40,713.17,-359.23,12.90,1,q1_q17_dr25_tce,5288.00,185.00,-185.00,4.613,0.032,-0.104,0.7400,0.1220,-0.0660,289.721680,45.439758,15.899
